,inflation,unemployment
1954-01-01,0.6330313449956622,3.6
1954-02-01,0.26095075385739985,3.8
1954-03-01,-1.4118336129816575e-14,4.1
1954-04-01,-0.29795180329056237,4.7
1954-05-01,-0.8570948686561429,4.6
1954-06-01,-0.26104806918475615,4.5
1954-07-01,-0.372856509513893,4.6
1954-08-01,-0.6330313449956931,5.1
1954-09-01,-0.6318549176380924,5.4
1954-10-01,-0.521222326699039,4.7
1954-11-01,-0.2609507538574401,4.1
1954-12-01,-0.59590492912466,3.8
1955-01-01,-0.8574143860348643,3.8
1955-02-01,-0.37299558350639866,3.5
1955-03-01,-0.485347228642907,3.5
1955-04-01,0.1490868707005694,3.9
1955-05-01,0.3735529185087378,3.2
1955-06-01,0.3727175391922293,3.1
1955-07-01,0.3728565095138756,3.0
1955-08-01,0.22388069052715645,2.9
1955-09-01,0.14903132415590603,2.8
1955-10-01,0.3725786724256093,2.9
1955-11-01,0.5212223266990246,3.0
1955-12-01,0.9665502756095213,3.0
1956-01-01,1.633901925807488,2.9
1956-02-01,1.9612099460219332,3.0
1956-03-01,2.184058681716857,3.0
1956-04-01,1.845070791311625,2.9
1956-05-01,2.5401697082950476,3.1
1956-06-01,2.3167059281534113,3.0
1956-07-01,2.789171630792491,3.0
1956-08-01,3.0828129361301464,2.8
1956-09-01,3.4397829601499477,2.9
1956-10-01,3.5437498070885662,2.8
1956-11-01,3.646047313357722,3.0
1956-12-01,3.5257149886846952,3.1
1957-01-01,3.474833853849557,3.0
1957-02-01,3.244697040577376,2.9
1957-03-01,3.490190554275825,2.6
1957-04-01,3.4851739957528625,3.0
1957-05-01,2.9018693889035685,2.9
1957-06-01,3.2191620929613176,3.1
1957-07-01,2.994876235462089,3.0
1957-08-01,3.445554829361035,3.1
1957-09-01,3.186110206898416,3.4
1957-10-01,3.5611025323184324,3.6
1957-11-01,3.552334124625274,3.9
1957-12-01,3.3020211028134256,4.2
1958-01-01,2.8062171109814447,4.6
1958-02-01,2.4528209352122854,5.1
1958-03-01,2.3069880174965935,5.5
1958-04-01,2.0619287202735834,6.0
1958-05-01,2.061928720273584,6.1
1958-06-01,1.8829008152907882,6.2
1958-07-01,1.7409910491313039,6.3
1958-08-01,1.2836256040867957,6.3
1958-09-01,1.0398707220898722,5.8
1958-10-01,0.3457818106415414,5.5
1958-11-01,0.13812156891986113,5.0
1958-12-01,0.3449468753257672,4.9
1959-01-01,0.6894201729277274,4.6
1959-02-01,0.8959398318357685,4.5
1959-03-01,0.825882189130192,4.1
1959-04-01,1.1692017649611108,3.7
1959-05-01,1.5104990245851049,3.6
1959-06-01,1.372234225510151,3.6
1959-07-01,1.507394078464486,3.6
1959-08-01,1.233314707721615,3.6
1959-09-01,1.4038922579429804,4.3
1959-10-01,1.5073940784644837,4.1
1959-11-01,1.9139340210697522,4.7
1959-12-01,1.8086143907790604,3.8
1960-01-01,1.7030384355968167,3.9
1960-02-01,1.362883105560595,3.5
1960-03-01,1.4628599018860324,4.0
1960-04-01,1.2232568435634292,3.9
1960-05-01,1.3536585717533216,3.9
1960-06-01,1.454448098175751,4.0
1960-07-01,1.350915512407651,4.2
1960-08-01,1.5876030125031575,4.4
1960-09-01,1.4515022769656578,4.5
1960-10-01,1.4515022769656578,4.7
1960-11-01,0.909863058674646,4.8
1960-12-01,0.9089441471174412,5.1
1961-01-01,0.7737633222060403,5.2
1961-02-01,1.2443409254169406,5.3
1961-03-01,1.108323687798265,5.3
1961-04-01,1.2418350560952074,5.4
1961-05-01,0.7701360682813205,5.7
1961-06-01,0.6693465418588916,5.2
1961-07-01,0.6686751762295812,5.4
1961-08-01,0.6680051560373985,5.1
1961-09-01,0.9007567158082391,4.9
1961-10-01,1.099827783540962,4.7
1961-11-01,1.3329087708600662,4.5
1961-12-01,1.331577597577221,4.4
1962-01-01,1.2323220063020695,4.1
1962-02-01,0.9976803738317122,3.9
1962-03-01,1.129204957776594,4.0
1962-04-01,1.4569794156695393,4.0
1962-05-01,1.3254004493175313,4.0
1962-06-01,1.3254004493175313,4.0
1962-07-01,1.2253837715351257,3.9
1962-08-01,1.3227706097551382,4.1
1962-09-01,1.221338832480337,4.0
1962-10-01,1.120644555760889,3.9
1962-11-01,0.889773541986512,4.2
1962-12-01,0.8888947417246224,4.0
1963-01-01,1.3153757558740602,4.2
1963-02-01,1.5432911787051582,4.3
1963-03-01,1.5402565683278973,4.1
1963-04-01,0.9813621448324638,4.1
1963-05-01,1.2105497084900179,3.9
1963-06-01,1.3080631243106466,3.8
1963-07-01,1.6324227988948665,3.8
1963-08-01,1.6292312151434922,3.8
1963-09-01,1.4009025325579412,3.5
1963-10-01,1.3995346416341832,3.7
1963-11-01,1.5302268312159715,3.9
1963-12-01,1.528733626014456,3.8
1964-01-01,1.298298015503667,3.7
1964-02-01,1.0695289116748081,3.6
1964-03-01,0.9708814126960986,3.6
1964-04-01,1.1650617219975237,3.5
1964-05-01,1.1960705057664083,3.3
1964-06-01,1.3873427871955073,3.6
1964-07-01,1.191065102583522,3.3
1964-08-01,1.0929070532190468,3.3
1964-09-01,1.1899159533085586,3.4
1964-10-01,1.1887690193394336,3.6
1964-11-01,1.3797748174281448,3.1
1964-12-01,1.6010588560479773,3.1
1965-01-01,1.9163793115168641,3.1
1965-02-01,1.7891851079103018,3.2
1965-03-01,1.5974780607734262,3.1
1965-04-01,1.7225306281879387,3.2
1965-05-01,1.6887449279994338,3.1
1965-06-01,1.7154169056012625,2.9
1965-07-01,1.901800583576206,2.8
1965-08-01,1.8999938244904129,2.8
1965-09-01,2.525386732120358,2.7
1965-10-01,2.740760622592301,2.6
1965-11-01,2.8277096096861736,2.5
1965-12-01,2.726159739770736,2.5
1966-01-01,2.406742202196302,2.5
1966-02-01,2.717643432260345,2.4
1966-03-01,3.427126673521821,2.3
1966-04-01,3.511313029993517,2.2
1966-05-01,3.7213596340434645,2.2
1966-06-01,3.4971844849278764,2.2
1966-07-01,3.3042993790696933,2.2
1966-08-01,3.1493803849312063,2.2
1966-09-01,2.8274778468166724,2.1
1966-10-01,2.5162419902243376,2.0
1966-11-01,2.5085438981269608,2.1
1966-12-01,2.2919261436108065,2.1
1967-01-01,2.8016448736909436,2.1
1967-02-01,2.8855456832556055,2.0
1967-03-01,2.5700583108581054,2.1
1967-04-01,2.562310488789812,2.2
1967-05-01,2.5546092427696863,2.1
1967-06-01,3.0550444198425706,2.2
1967-07-01,3.2280148807292726,2.1
1967-08-01,3.5824726518145327,2.1
1967-09-01,3.5718082602079577,2.1
1967-10-01,3.86377927054142,2.1
1967-11-01,3.8523281996335617,2.1
1967-12-01,4.142604165429703,2.2
1968-01-01,4.11822899664157,2.1
1968-02-01,4.393092922572692,2.2
1968-03-01,4.380262265839313,2.1
1968-04-01,4.367506350266168,1.9
1968-05-01,4.638512658093505,1.9
1968-06-01,4.329680575332416,2.1
1968-07-01,4.5985113241823266,1.9
1968-08-01,4.585330449612224,2.0
1968-09-01,4.572224933809488,1.9
1968-10-01,5.1147511166940935,1.9
1968-11-01,5.376117689145222,1.8
1968-12-01,5.360945060538082,1.7
1969-01-01,5.330855345450684,1.8
1969-02-01,5.301101596650345,1.8
1969-03-01,5.286348955706759,1.8
1969-04-01,5.541583914156909,1.8
1969-05-01,5.511036271051849,1.8
1969-06-01,5.762911283663615,1.8
1969-07-01,5.731445659598012,2.0
1969-08-01,5.98004233027869,1.9
1969-09-01,6.226638872600059,2.1
1969-10-01,5.915703084776485,2.2
1969-11-01,5.884050002293329,2.0
1969-12-01,5.868350182809002,2.1
1970-01-01,5.837200622190683,2.4
1970-02-01,5.549640544951521,2.6
1970-03-01,5.5350095083164845,2.7
1970-04-01,5.505977718302727,2.9
1970-05-01,5.477248965411822,3.0
